Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SEC2AKA,2012.09,658.704.589,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2012.12,73.161.466,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2013.03,683.763.127,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2013.06,739.660.698,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2013.09,740.505.029,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2013.12,824.700.862,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2014.03,74.653.493,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2014.06,818.700.509,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2014.09,827.434.542,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2014.12,903.928.159,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2015.03,818.077.681,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2015.06,890.458.002,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2015.09,912.843.942,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2015.12,952.603.366,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2016.03,911.716.746,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2016.06,946.011.439,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2016.09,951.718.595,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2016.12,1.021.008.968,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2017.03,960.335.026,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2017.06,1.016.819.638,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2017.09,1.029.210.186,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2017.12,1.110.914.177,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2018.03,1.039.842.927,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2018.06,1.112.195.796,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2018.09,1.117.248.557,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2018.12,1.221.195.627,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2019.03,1.109.238.446,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2019.06,1.206.962.781,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2019.09,1.221.530.899,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2019.12,1.356.815.374,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2020.03,1.213.557.049,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2020.06,1.250.477.025,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2020.09,1.424.325.859,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2020.12,1.449.524.499,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2021.03,1.385.743.037,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2021.06,1.500.802.607,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2021.09,1.486.515.144,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2021.12,1.600.555.615,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2022.03,1.530.053.693,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2022.06,1.670.342.926,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2022.09,1.692.822.644,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2022.12,1.775.289.998,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2023.03,1.729.444.554,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2023.06,1.874.157.495,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2023.09,1.883.874.077,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2023.12,2.036.963.675,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SED1RAA,2011.06,50225,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2011.09,49842,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2011.12,50679,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2012.03,49238,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2012.06,50099,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2012.09,49495,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
